# Derived from en-GB-x-rp.dict by Reece H. Dunn (Cainteoir Technologies)
# https://github.com/rhdunn/en-GB-x-rp.dict
# Copyright (C) 2017 Reece H. Dunn. BSD 2-clause license.
a	0
abandoned	0 1 0
abbey	1 0
abbeys	1 0
about	0 1
above	0 1
abroad	0 1
absconded	0 1 0
absolute	1 0 2
accordance	0 1 0
accosted	0 1 0
account	0 1
acknowledged	0 1 0
action	1 0
admirable	1 0 0 0
admired	0 1 0
admitted	0 1 0
adopted	0 1 0
adore	0 1
afflicted	0 1 0
after	1 0
afterwards	1 0 0
again	0 1
against	0 1
aged	1
aghast	0 1
agitation	2 0 1 0
agreeing	0 1 0
ah	1
aid	1
aided	1 0
aidenn	1 0
air	1
alarming	0 1 0
all	1
allan	1 0
aloft	0 1
aloud	0 1
already	0 1 0
also	1 0
alternately	0 1 0 0
although	0 1
altogether	2 0 1 0
am	1
amid	0 1
among	0 1
amontillado	0 2 0 1 0
amply	1 0
an	0
ancient	1 0
and	1
angels	1 0
anon	0 1
another	0 1 0
answer	1 0
answered	1 0
antique	0 1
any	1 0
apartment	0 1 0
apartments	0 1 0
aperture	1 0 0
appalled	0 1
appals	0 1
apparent	0 1 0
appearance	0 1 0
appearances	0 1 0 0
appeared	0 1
appennines	0 1 0
appliances	0 1 0 0
appointments	0 1 0
approach	0 1
approached	0 1
approved	0 1
aptly	1 0
arabesque	2 0 1
arches	1 0
architecture	1 0 2 0
archway	1 0
ardor	1 0
are	1
aright	0 1
arm	1
armorial	0 1 0 0
arms	1
arose	0 1
around	0 1
arrest	0 1
arrested	0 1 0
arrived	0 1
art	1
as	1
ashore	0 1
aside	0 1
asked	1
assembly	0 1 0
assume	0 1
assumptions	0 1 0
astonishment	0 1 0 0
astounded	0 1 0
at	1
attained	0 1
attendants	0 1 0
attention	0 1 0
attentions	0 1 0
august	1 0
austere	0 1
austrian	1 0 0
avatar	1 0 2
avenged	0 1
avenger	0 1 0
awaiting	0 1 0
aware	0 1
away	0 1
awe	1
azure	1 0
b	1
back	1
backed	1
bade	1
ball	1
ballet	1 0
balm	1
ban	1
barbaric	0 1 0
bargain	1 0
bath	1
battlements	1 0 0
be	1
beak	1
bearing	1 0
beast	1
beat	1
beating	1 0
beautiful	1 0 0
beauty	1 0
became	0 1
because	0 1
become	0 1
bed	1
bedecked	0 1
bedewed	0 1
been	1
before	0 1
began	0 1
beguiling	0 1 0
beheld	0 1
being	1 0
bell	1
bells	1
beloved	0 1
below	0 1
bends	1
beneath	0 1
beside	0 1
besides	0 1
besprinkled	0 1 0
best	1
betook	0 1
between	0 1
bewildered	0 1 0
beyond	0 1
bid	1
bird	1
bizarre	0 1
black	1
blackness	1 0
blasphemous	1 0 0
bleak	1
bleeding	1 0
blessed	1
blood	1
blue	1
body	1 0
bold	1
bolts	1
bones	1
book	1
books	1
bore	1
borne	1
borrow	1 0
bosom	1 0
bosom's	1 0
both	1
bottle	1 0
bought	1
bounds	1
bowed	1
brazen	1 0
brazier	1 0 0
breast	1
breath	1
bride	1
brief	1
british	1 0
broad	1
broke	1
broken	1 0
brotherhood	1 0 2
brought	1
brow	1
brows	1
brush	1
brushes	1 0
buffoons	0 1
building	1 0
burden	1 0
buried	1 0
burned	1
burning	1 0
bursting	1 0
busied	1 0
bust	1
but	1
buzz	1
by	1
c	1
called	1
calm	1
came	1
can	1
candelabrum	2 0 1 0
candle	1 0
candles	1 0
cannot	1 0
canvas	1 0
cap	1
care	1
carnival	1 0 0
carpet	1 0
case	1
casements	1 0
cask	1
casks	1
castellated	1 0 2 0
catacombs	1 0 2
caught	1
cause	1
caused	1
causing	1 0
caution	1 0
cautious	1 0
cavern	1 0
ceased	1
ceiling	1 0
censer	1 0
centres	1 0
century	1 0 0
cerements	1 0 0
certain	1 0
cessation	0 1 0
chain	1
chained	1
chamber	1 0
chambers	1 0
character	1 0 0
chateau	1 0
cheat	1
cheeks	1
cherishing	1 0 0
chime	1
chimes	1
chiming	1 0
choice	1
chords	1
circuit	1 0
circumscribing	1 0 2 0
clamoured	1 0
clamourer	1 0 0
clang	1
clanking	1 0
clasp	1
clear	1
clearly	1 0
cloak	1
clock	1
close	1
closed	1
closely	1 0
closer	1 0
closest	1 0
cloth	1
cold	1
colossal	0 1 0
colour	1 0
coloured	1 0
colours	1 0
come	1
comes	1
comma	1 0
commenced	0 1
commingled	0 1 0
company	1 0 0
completed	0 1 0
comprehend	2 0 1
concealed	0 1
conceptions	0 1 0
